,Year,0,1,2,3,4,5,6,7,8,Month,Day
13,2028,3.4078567123287673,3.4278323287671233,3.465415616438356,3.4006838356164386,3.413281917808219,3.44422,3.553764383561644,3.5565101369863013,3.6100473972602742,6.526027397260274,15.72054794520548
14,2029,3.3870531506849315,3.3927405479452055,3.4302523287671236,3.40202301369863,3.4141868493150684,3.458393698630137,3.4915715068493154,3.5070405479452056,3.542901369863014,6.526027397260274,15.72054794520548
15,2030,3.566304383561644,3.59266,3.6238049315068492,3.469751506849315,3.4545564383561644,3.5036030136986303,3.35903698630137,3.371821095890411,3.4051679452054793,6.526027397260274,15.72054794520548
16,2031,3.4798808219178086,3.4992106849315068,3.550407397260274,3.352646301369863,3.359688493150685,3.4075649315068492,3.4581394520547946,3.474753698630137,3.5128093150684934,6.526027397260274,15.72054794520548
17,2032,3.4709013698630136,3.4918528767123287,3.519486849315068,3.446426301369863,3.4526854794520547,3.494427123287671,3.5859460273972603,3.584478356164383,3.624767397260274,6.526027397260274,15.72054794520548
18,2033,3.4636682191780825,3.4720030136986297,3.522748493150685,3.7231334246575343,3.7394082191780824,3.799179452054794,3.701141095890411,3.7144769863013702,3.7537558904109587,6.526027397260274,15.72054794520548
19,2034,3.550397808219178,3.57694904109589,3.6276276712328768,3.3506435616438353,3.356589315068493,3.39476602739726,3.5192632876712326,3.5210750684931504,3.57205698630137,6.526027397260274,15.72054794520548
20,2035,3.6092120547945203,3.6291479452054793,3.6620569863013697,3.52819698630137,3.5294939726027397,3.5585367123287672,3.674474520547945,3.6837810958904105,3.742279178082192,6.526027397260274,15.72054794520548
21,2036,3.6503394520547947,3.6678775342465753,3.70798,3.5336843835616434,3.5482065753424656,3.5858594520547946,3.5286416438356163,3.548651232876712,3.579583561643836,6.526027397260274,15.72054794520548
22,2037,3.6166679452054797,3.6227254794520545,3.6866076712328764,3.637712876712329,3.662415616438356,3.690510958904109,3.46374,3.476205479452055,3.510095068493151,6.526027397260274,15.72054794520548
23,2038,3.533534794520548,3.557610136986302,3.5920665753424657,3.390693698630137,3.4101457534246573,3.4333164383561643,3.51122,3.5358558904109585,3.573393698630137,6.526027397260274,15.72054794520548
24,2039,3.7544756164383566,3.7861419178082194,3.826470410958904,3.650235890410959,3.662141369863013,3.710445205479452,3.710242739726027,3.7118904109589037,3.75562301369863,6.526027397260274,15.72054794520548
25,2040,3.534258904109589,3.559666301369863,3.61011698630137,3.6027147945205478,3.5899961643835616,3.639178630136986,3.567221369863014,3.582604931506849,3.631619726027397,6.526027397260274,15.72054794520548
26,2041,3.488511780821918,3.5176550684931507,3.541613698630137,3.62810301369863,3.633585479452055,3.6728772602739728,3.901705205479452,3.8926282191780825,3.9565772602739724,6.526027397260274,15.72054794520548
27,2042,3.580965479452055,3.594887671232877,3.636353698630137,3.636859726027397,3.646434520547945,3.6888263013698626,3.599312328767123,3.602028767123288,3.649155890410959,6.526027397260274,15.72054794520548
28,2043,3.6238630136986303,3.6507561643835618,3.6825912328767125,3.757928493150685,3.774651780821918,3.834579178082192,3.537200821917808,3.5555791780821915,3.5852268493150685,6.526027397260274,15.72054794520548
29,2044,3.6901846575342465,3.698811232876712,3.751073150684931,3.4328572602739724,3.432681643835616,3.469239178082192,3.7095942465753424,3.7183126027397257,3.757800821917808,6.526027397260274,15.72054794520548
30,2045,3.555720821917808,3.575545205479452,3.6124646575342467,3.524540821917808,3.5283835616438353,3.5442520547945207,3.8761408219178084,3.89323397260274,3.9412254794520547,6.526027397260274,15.72054794520548
31,2046,3.431561095890411,3.454750410958904,3.493105479452055,3.565118082191781,3.570089315068493,3.6091602739726025,3.546383287671233,3.5674161643835616,3.607642191780822,6.526027397260274,15.72054794520548
32,2047,3.9083465753424655,3.935545205479452,3.970014794520548,3.8007871232876713,3.8152627397260273,3.837219726027397,3.6895306849315066,3.6969002739726027,3.7267254794520546,6.526027397260274,15.72054794520548
33,2048,3.672778082191781,3.7026945205479453,3.7435336986301366,3.6280315068493154,3.6186010958904107,3.6626112328767126,3.777959452054795,3.7936673972602737,3.8356035616438358,6.526027397260274,15.72054794520548
34,2049,3.6238561643835614,3.6409334246575344,3.6838123287671234,3.767434520547945,3.7741936986301368,3.813411232876712,3.7653312328767123,3.7643747945205477,3.806788493150685,6.526027397260274,15.72054794520548
35,2050,3.6440821917808215,3.673641917808219,3.7196895890410957,3.8390413698630135,3.8569608219178084,3.8982923287671234,3.886734794520548,3.8867021917808224,3.9235794520547946,6.526027397260274,15.72054794520548
36,2051,3.5757608219178083,3.588355068493151,3.6216619178082192,3.68286301369863,3.689190410958904,3.7188191780821915,3.5916994520547942,3.5927438356164383,3.6329742465753423,6.526027397260274,15.72054794520548
37,2052,3.768132876712329,3.7921898630136988,3.843956164383562,3.6332978082191785,3.6392194520547947,3.675036164383562,3.688986301369863,3.6973580821917804,3.734258082191781,6.526027397260274,15.72054794520548
38,2053,3.8374156164383564,3.866213424657534,3.9115424657534246,3.692711232876712,3.694765479452055,3.7210564383561646,3.6964843835616437,3.6902460273972606,3.731511780821918,6.526027397260274,15.72054794520548
39,2054,3.8957594520547945,3.943128493150685,3.996128493150685,3.6244328767123286,3.645558630136986,3.6865906849315073,3.7485449315068493,3.7557564383561646,3.8062164383561643,6.526027397260274,15.72054794520548
40,2055,3.7094158904109586,3.7404449315068495,3.7524726027397257,3.900865753424658,3.9228161643835615,3.9716232876712327,3.7250183561643833,3.7405301369863015,3.7670838356164382,6.526027397260274,15.72054794520548
41,2056,3.985825205479452,4.0208235616438355,4.069724931506849,3.702429315068493,3.7143934246575343,3.7688613698630133,3.8852219178082192,3.8877479452054797,3.9435180821917806,6.526027397260274,15.72054794520548
42,2057,3.825319452054795,3.837320273972603,3.8801572602739727,3.662164657534247,3.6760238356164385,3.7197879452054794,3.7981312328767123,3.8142128767123284,3.8541986301369864,6.526027397260274,15.72054794520548
43,2058,3.7637391780821914,3.7874550684931507,3.8218901369863016,4.036087945205479,4.055642739726028,4.096953424657534,3.737672876712329,3.745640821917808,3.789583561643836,6.526027397260274,15.72054794520548
44,2059,3.6798843835616437,3.703223835616438,3.7456789041095893,3.842712876712329,3.8572202739726023,3.90083698630137,3.7125035616438353,3.716044109589041,3.769211232876712,6.526027397260274,15.72054794520548
45,2060,3.852831780821918,3.867564931506849,3.8981805479452056,3.9528800000000004,3.971492876712329,4.007655616438356,3.77936602739726,3.7793005479452053,3.812064109589041,6.526027397260274,15.72054794520548
46,2061,3.875606849315069,3.8907183561643834,3.9505835616438354,3.7414391780821914,3.747988219178082,3.8012326027397263,4.0652057534246575,4.060562739726027,4.12185698630137,6.526027397260274,15.72054794520548
47,2062,3.858196712328767,3.8915180821917805,3.9370605479452054,3.871813698630137,3.8780189041095894,3.910954794520548,3.998309589041096,4.010952328767123,4.0683830136986305,6.526027397260274,15.72054794520548
48,2063,3.8474276712328765,3.8832799999999996,3.9444230136986302,4.100847671232877,4.108119178082192,4.149573698630137,3.995689589041096,3.995668767123288,4.043647671232876,6.526027397260274,15.72054794520548
49,2064,3.829380273972603,3.8491827397260274,3.907507397260274,3.7839413698630135,3.7937917808219175,3.829614246575342,3.7008816438356162,3.714057808219178,3.750488767123288,6.526027397260274,15.72054794520548
50,2065,3.8904758904109586,3.907082191780822,3.944823287671233,3.844067671232877,3.8563827397260275,3.9041536986301373,3.9516832876712327,3.962846849315069,4.008963287671233,6.526027397260274,15.72054794520548
51,2066,4.129795890410959,4.159171780821918,4.211288767123288,3.9363421917808217,3.943833424657534,3.993821095890411,3.9656643835616436,3.978176164383562,4.004686575342466,6.526027397260274,15.72054794520548
52,2067,3.8459490410958908,3.869972328767123,3.9266219178082196,4.046126849315068,4.041763835616438,4.072119726027397,3.8942832876712328,3.9068610958904113,3.9305942465753425,6.526027397260274,15.72054794520548
53,2068,3.944919178082192,3.9778164383561645,4.015112054794521,3.855746301369863,3.8561380821917806,3.9004643835616437,4.035817808219178,4.04161890410959,4.077944383561643,6.526027397260274,15.72054794520548
54,2069,3.8838860273972604,3.9251983561643837,3.9735391780821914,3.7035243835616436,3.7052701369863015,3.748430136986301,3.8167024657534245,3.8338432876712334,3.8813997260273974,6.526027397260274,15.72054794520548
55,2070,3.8202435616438355,3.835674794520548,3.8680019178082192,3.9274246575342464,3.9345873972602736,3.991861643835617,3.98174301369863,4.002987123287672,4.049788493150685,6.526027397260274,15.72054794520548
56,2071,3.9077068493150686,3.944486301369863,3.9796460273972603,4.191455068493151,4.1874619178082195,4.249474520547945,4.071760821917809,4.095547397260274,4.144402465753425,6.526027397260274,15.72054794520548
57,2072,3.7709260273972602,3.8094402739726028,3.850089315068493,3.894087123287671,3.899500273972603,3.9332328767123292,4.092652602739726,4.129271506849315,4.180147671232876,6.526027397260274,15.72054794520548
58,2073,4.0241443835616435,4.053713698630137,4.089522191780822,4.08645698630137,4.114976164383561,4.167454794520548,4.0670331506849315,4.075535068493151,4.121543287671233,6.526027397260274,15.72054794520548
59,2074,3.976721369863014,3.999035342465753,4.043141095890411,4.021420273972603,4.0413221917808215,4.076098904109589,3.9890939726027397,3.9849783561643837,4.039471232876712,6.526027397260274,15.72054794520548
60,2075,4.022301917808219,4.04925397260274,4.095865753424658,3.9479093150684936,3.9757572602739724,4.01699397260274,4.011126849315069,4.026872602739727,4.076707945205479,6.526027397260274,15.72054794520548
61,2076,4.090550958904109,4.096075342465753,4.156183287671233,4.066451232876712,4.070398904109589,4.113273150684932,4.163054246575342,4.183904109589041,4.221008219178082,6.526027397260274,15.72054794520548
62,2077,4.05648,4.092956164383562,4.136392876712329,3.8798002739726027,3.883532602739726,3.9098002739726025,4.105897260273973,4.131844109589041,4.1637,6.526027397260274,15.72054794520548
63,2078,4.009546849315068,4.046310684931506,4.093893698630136,4.181241643835616,4.211431506849315,4.258256712328767,4.010655068493151,4.004023835616438,4.059767671232876,6.526027397260274,15.72054794520548
64,2079,4.160675890410959,4.194039178082192,4.231841095890411,4.204334520547945,4.223628219178082,4.2798495890410955,4.02494109589041,4.028171506849315,4.074352328767123,6.526027397260274,15.72054794520548
65,2080,4.127773424657534,4.1593920547945205,4.183927123287671,4.176119178082192,4.204892876712329,4.23949205479452,4.119013424657535,4.129512876712329,4.185838082191781,6.526027397260274,15.72054794520548
66,2081,4.082138630136987,4.12473808219178,4.169873424657534,4.067717534246575,4.076376164383562,4.12025698630137,3.8905060273972603,3.8979249315068496,3.9309139726027396,6.526027397260274,15.72054794520548
67,2082,4.071255890410959,4.103115616438356,4.147230136986302,3.9651158904109587,3.980892328767123,4.008848767123288,4.071799178082192,4.072964931506849,4.129611780821918,6.526027397260274,15.72054794520548
68,2083,4.086424657534247,4.110184657534247,4.141404383561643,4.151744931506849,4.161432602739726,4.20799205479452,4.181749041095891,4.188740547945206,4.219617534246575,6.526027397260274,15.72054794520548
69,2084,4.246198630136986,4.2948657534246575,4.332521643835617,4.157389863013699,4.173761643835617,4.2231457534246575,4.175520000000001,4.1864142465753424,4.22678602739726,6.526027397260274,15.72054794520548
70,2085,4.216870410958904,4.248526849315068,4.288294520547945,4.223602739726028,4.247296712328767,4.305571506849315,4.114401095890411,4.138986301369863,4.182898630136987,6.526027397260274,15.72054794520548
71,2086,4.192302191780822,4.250566575342465,4.29086301369863,4.279902191780821,4.270255616438356,4.306568219178082,4.2352495890410955,4.257886575342466,4.290329863013699,6.526027397260274,15.72054794520548
72,2087,4.291366575342466,4.3302980821917805,4.344069863013698,4.490840273972602,4.50942794520548,4.550826301369863,4.246798356164383,4.265549589041096,4.304484657534246,6.526027397260274,15.72054794520548
73,2088,4.322814520547945,4.337550684931506,4.393254520547945,4.176320821917808,4.189480821917808,4.241303561643836,4.19138794520548,4.206161095890411,4.2417,6.526027397260274,15.72054794520548
74,2089,4.356095342465753,4.383997808219179,4.429759726027397,4.352484383561643,4.354069863013699,4.4073687671232875,4.443321369863014,4.450262191780822,4.4918084931506845,6.526027397260274,15.72054794520548
75,2090,4.534746575342465,4.5649712328767125,4.629698082191781,4.211186849315069,4.235658630136986,4.283968767123287,4.283970410958904,4.302021095890411,4.346617260273972,6.526027397260274,15.72054794520548
76,2091,4.411406301369863,4.4779076712328765,4.527787123287671,4.259875890410959,4.282880821917808,4.3236309589041095,4.247167397260275,4.257425753424657,4.310194520547945,6.526027397260274,15.72054794520548
77,2092,4.057904931506849,4.0896309589041095,4.1235783561643835,4.406233424657534,4.4093008219178085,4.456900273972603,4.184015342465753,4.199233150684932,4.241455068493151,6.526027397260274,15.72054794520548
78,2093,4.52646301369863,4.56950301369863,4.60183698630137,4.316554794520548,4.31908904109589,4.351652328767123,4.186451780821918,4.201964383561644,4.231919726027397,6.526027397260274,15.72054794520548
79,2094,4.209937808219179,4.273453150684932,4.318913150684931,4.568945205479452,4.603558630136987,4.667660821917808,4.359462191780822,4.372292876712328,4.406126301369863,6.526027397260274,15.72054794520548
80,2095,4.217722739726027,4.24009397260274,4.278367123287671,4.468227945205479,4.477358082191781,4.541833150684932,4.372752876712329,4.38652301369863,4.430258082191781,6.526027397260274,15.72054794520548
81,2096,4.180502739726027,4.236602191780822,4.26703095890411,4.456372328767124,4.473876164383562,4.535981369863014,4.456876164383562,4.4503419178082195,4.497324383561644,6.526027397260274,15.72054794520548
82,2097,4.548667123287672,4.566172328767124,4.61813698630137,4.399527671232877,4.406040273972603,4.453678630136986,4.607838630136986,4.636089315068493,4.68041698630137,6.526027397260274,15.72054794520548
83,2098,4.152260273972603,4.2112967123287675,4.253265753424658,4.1633978082191785,4.177351780821918,4.202777534246575,4.442697260273972,4.452255342465754,4.510741095890411,6.526027397260274,15.72054794520548
84,2099,4.345067671232877,4.398088493150685,4.444889315068494,4.7260649315068495,4.740415068493151,4.803251506849315,4.28273506849315,4.296538904109589,4.34987205479452,6.526027397260274,15.72054794520548
85,2100,4.425320273972603,4.462785479452055,4.503144383561644,4.633213698630137,4.659225753424658,4.695392876712329,4.483169315068493,4.4893312328767125,4.5436035616438355,6.526027397260274,15.72054794520548
